"","group","cond","subj","chan","P2","eP3a","lP3a","LDN"
"1985","ch","sta","41","Fp1",1.56123458382776,-1.75606264522359,-1.9081909588046,-0.318933085988795
"1986","ch","sta","41","Fz",2.32747439868523,-6.88637853293106,-8.05571110512028,-4.11413023346832
"1987","ch","sta","41","F3",1.91067735433893,-7.53073549787938,-6.78420544115349,-3.32938135641819
"1988","ch","sta","41","F7",-1.61688150155608,-4.40674547236053,-2.76200212525141,-2.75453280247979
"1989","ch","sta","41","IO1",-0.0652372398700201,0.205797946966569,0.224041297737186,0.06650091362775
"1990","ch","sta","41","FC5",-1.98723331107338,-7.23319999500905,-5.59807520558887,-3.72355122637177
"1991","ch","sta","41","FC1",2.30770324180352,-7.61179381836825,-7.65106366470617,-4.4249793862381
"1992","ch","sta","41","C3",0.611446761847139,-7.50750616616395,-6.50231316954986,-4.34166791899475
"1993","ch","sta","41","T7",-6.95680901646866,-3.2203019070455,-2.62899109748831,-4.26709244790361
"1994","ch","sta","41","M1",-1.30870880201184,1.16409123433688,0.170960860185037,-1.43682236094802
"1995","ch","sta","41","CP5",-2.27464134363238,-4.69717170703777,-4.36449643868075,-3.28070221768472
"1996","ch","sta","41","CP1",1.69354524558593,-5.42409546623629,-5.33830701094124,-2.54593676467075
"1997","ch","sta","41","Pz",2.50600728791532,-2.61236405110786,-3.88378845461016,-2.04016096464935
"1998","ch","sta","41","P3",0.412385936779184,-2.95273299019709,-3.36139487511748,-2.1411050130838
"1999","ch","sta","41","P7",-2.27913095002088,-1.09291113690148,-2.04176315499757,-1.69356059232969
"2000","ch","sta","41","LO1",-0.693172072744668,-0.615272385065067,-0.394331274835253,-0.636051028657126
"2001","ch","sta","41","Oz",0.728484173844673,0.208331179396281,-1.18255952872944,-2.06885504328627
"2002","ch","sta","41","LO2",-1.50193286753005,-1.11187119382688,-0.881529173794776,-0.871877871067572
"2003","ch","sta","41","P4",0.813405261584642,-2.09501648186206,-4.09968221087533,-1.31911356347321
"2004","ch","sta","41","P8",-2.66228486186165,0.741323651738934,-2.36651185697474,-1.53285550478579
"2005","ch","sta","41","M2",-1.3542329272295,1.03894552368144,0.369702037936557,0.0991372724059646
"2006","ch","sta","41","CP6",-2.98400412800763,-3.05677767565346,-5.1512692411586,-1.90227475050518
"2007","ch","sta","41","CP2",1.9138302482133,-5.39803268099977,-6.77832699625043,-2.59486664583274
"2008","ch","sta","41","Cz",2.56408677441747,-6.9816987912793,-7.78380438183798,-4.26179177325031
"2009","ch","sta","41","C4",-0.947425765394281,-7.35859864339039,-9.08875507281272,-3.55434051370126
"2010","ch","sta","41","T8",-8.3853099692216,-0.505013136646618,-1.47588914474186,-2.47926334502678
"2011","ch","sta","41","FC6",-4.08327678366073,-7.32267630571261,-7.22091960217835,-4.49743819168071
"2012","ch","sta","41","FC2",1.43870080148955,-7.05653280784454,-9.63108109483557,-4.68470196428393
"2013","ch","sta","41","F4",0.756372345202251,-6.95916614470373,-8.22451951540688,-3.96946832234335
"2014","ch","sta","41","F8",-2.05875205166595,-4.02152914312351,-2.4335114955339,-1.95474606876728
"2015","ch","sta","41","FP2",1.28077745039446,-1.26855302995044,-1.85935239136431,-0.944393383518689
"2016","ch","sta","42","Fp1",-5.13434611414642,-1.22442665575892,-2.33311681829789,-3.3734106949019
"2017","ch","sta","42","Fz",-6.987470323682,-1.95853036177984,-5.31027979474544,-6.9179084634722
"2018","ch","sta","42","F3",-8.19624812833909,-1.62507330439949,-4.25075156656594,-5.8828749128411
"2019","ch","sta","42","F7",-7.46966510095631,-0.757594264003337,-2.18656723197809,-2.44072024431211
"2020","ch","sta","42","IO1",0.113569675495407,0.0608806402794313,0.219794747958253,0.304911758248381
"2021","ch","sta","42","FC5",-8.1064532163848,0.323562891537993,-2.18329473837217,-1.56593773267948
"2022","ch","sta","42","FC1",-6.327066708037,-1.38523725523706,-4.9420950195428,-6.06444014696162
"2023","ch","sta","42","C3",-6.97316882288385,0.171690070557094,-4.04734039791829,-4.08415260429374
"2024","ch","sta","42","T7",-3.50624454335666,0.761561464135906,-0.362157779627957,3.30829589433053
"2025","ch","sta","42","M1",2.21932354364174,-0.0234734068786683,0.624933576515886,0.864705462120148
"2026","ch","sta","42","CP5",-4.547891236565,1.10968011097768,-2.12624009979525,0.356906623108166
"2027","ch","sta","42","CP1",-4.19954763984734,-0.504630128007975,-3.57355243837502,-3.04271578660274
"2028","ch","sta","42","Pz",-1.96733011625396,-0.801384973648017,-3.23776461274292,-2.02394481486646
"2029","ch","sta","42","P3",-2.27732593443774,0.14518161979192,-2.34930921097624,-0.995193161314891
"2030","ch","sta","42","P7",0.740078430565185,0.229115806306816,-0.465363409881888,1.75310886555923
"2031","ch","sta","42","LO1",-1.33156706356955,-0.00905187525503427,-0.185849837227844,0.0408247805688212
"2032","ch","sta","42","Oz",0.998527230514083,-0.142456322166116,-1.41167683891049,0.836808535266126
"2033","ch","sta","42","LO2",-2.48702772484334,0.274318544807759,-1.0630751267999,-0.279608822576702
"2034","ch","sta","42","P4",-2.12778743823637,-0.356196079759753,-3.95225426945357,-1.67173335270172
"2035","ch","sta","42","P8",-1.73833174178134,0.564823963054956,-2.38927380437451,0.0954136178415615
"2036","ch","sta","42","M2",1.44220167695281,0.559754345776609,0.241948120650427,1.08751067632701
"2037","ch","sta","42","CP6",-4.4762548172696,0.377627064653164,-4.76634938747009,-1.55942186200428
"2038","ch","sta","42","CP2",-3.35158581438338,-1.2782712101383,-4.58776412220542,-3.23891578999736
"2039","ch","sta","42","Cz",-4.90647582414747,-1.75113024701802,-4.93917717077526,-5.10942277847591
"2040","ch","sta","42","C4",-6.44349124828473,-1.8301533053538,-6.57500368845181,-5.00528584871965
"2041","ch","sta","42","T8",-7.09435584483398,1.80866253935202,-3.44081110331608,1.11111300345359
"2042","ch","sta","42","FC6",-9.23326743292231,-1.1909588723711,-6.42785940099063,-4.86053788932589
"2043","ch","sta","42","FC2",-6.64417024270167,-2.05394859136623,-5.9021717320732,-6.38329481906171
"2044","ch","sta","42","F4",-8.08144652163546,-1.79856677679176,-5.35419545959853,-5.31699359245443
"2045","ch","sta","42","F8",-8.48075608045559,-0.32524409908306,-3.09571054472045,-2.74519378829568
"2046","ch","sta","42","FP2",-6.09793133407252,-1.24027045213931,-3.2358171294436,-3.63149132361525
"2047","ch","sta","43","Fp1",-4.5993578210617,-1.5841912201782,-1.87820450532639,-4.66570051191609
"2048","ch","sta","43","Fz",-6.02217926877993,-5.41649266598966,-3.21326854699636,-7.45677644667965
"2049","ch","sta","43","F3",-8.10904540762368,-4.87614050295192,-4.34619958492043,-8.23685323232966
"2050","ch","sta","43","F7",-6.60443362465942,-1.63886740806848,-1.96412071313897,-1.52365399084367
"2051","ch","sta","43","IO1",-0.529752531353308,0.159789849789219,0.0377544175872318,0.166314040732867
"2052","ch","sta","43","FC5",-8.92995804258507,-4.88363048013658,-3.56544888129389,-5.31348130259088
"2053","ch","sta","43","FC1",-5.60316401078355,-6.70618362418771,-3.6233991213922,-8.23468327942922
"2054","ch","sta","43","C3",-5.01109671358172,-7.00008923515782,-3.39087531232377,-7.07807568473708
"2055","ch","sta","43","T7",-7.05320457791832,-1.27706009569665,1.44133419609407,3.72893416828378
"2056","ch","sta","43","M1",3.29657929909481,0.991494718308477,2.20474841219481,3.24345893642928
"2057","ch","sta","43","CP5",-5.0206731290546,-4.84797861512415,-2.25001187087452,-2.43246367727901
"2058","ch","sta","43","CP1",-1.02833965212304,-6.06305339057663,-1.33531827034699,-4.74789295344055
"2059","ch","sta","43","Pz",1.31361719357197,-4.62165257338071,0.0642921375590564,-2.95867318083497
"2060","ch","sta","43","P3",0.86603749021158,-3.76391375987684,-0.641139431787902,-1.90801058369892
"2061","ch","sta","43","P7",1.52159850525005,-0.472289471727706,0.686495564083716,2.6870824327066
"2062","ch","sta","43","LO1",-1.3927482839579,-0.176261787590545,0.144153531143127,1.17921675750332
"2063","ch","sta","43","Oz",4.02314069606123,-1.15236257402208,2.19649621186242,1.30551793298185
"2064","ch","sta","43","LO2",-0.801530105388211,-0.596531634586945,-0.010443671961865,-0.146986525029455
"2065","ch","sta","43","P4",1.63636904915461,-3.45626754025913,0.514283720036356,-1.56548073495182
"2066","ch","sta","43","P8",3.37513162291668,-0.819788965978493,1.77722944870206,1.81878924972656
"2067","ch","sta","43","M2",2.94608239816317,0.710996221419165,0.809274472238023,2.69703115449939
"2068","ch","sta","43","CP6",0.408712463372362,-3.27886117983726,0.433225162753323,-0.701299418950229
"2069","ch","sta","43","CP2",-0.757671996486513,-5.51316354070187,-0.489596117730259,-4.66113009135216
"2070","ch","sta","43","Cz",-1.52806745742887,-6.69837884373197,-1.21067445860106,-6.52106770615873
"2071","ch","sta","43","C4",-4.43800127626241,-6.28873197172338,-1.31324186573906,-6.18526187122653
"2072","ch","sta","43","T8",-5.92519955970856,-1.53147743534306,-0.345674691229189,0.706668671840347
"2073","ch","sta","43","FC6",-10.5443733756429,-5.5048379546553,-2.48134894831126,-8.43089463421675
"2074","ch","sta","43","FC2",-5.31152366163587,-6.46894834551195,-2.39883284898615,-8.12236137430605
"2075","ch","sta","43","F4",-9.94139735168568,-5.69248824767579,-3.1874793176937,-9.33509875314435
"2076","ch","sta","43","F8",-8.20513465668239,-3.20246824376717,-1.54838761983867,-5.449829102548
"2077","ch","sta","43","FP2",-6.81101207038146,-2.74829065930626,-1.46198998378242,-5.95363979199317
"2078","ch","sta","44","Fp1",-5.8589976006183,-3.3477123279879,-3.25087202578932,-7.03879017538117
"2079","ch","sta","44","Fz",-3.11372310983189,-6.0362777546127,-4.49751090313504,-9.4355792166656
"2080","ch","sta","44","F3",-4.91622151267898,-5.59783304405338,-4.48159217234552,-9.35583270430914
"2081","ch","sta","44","F7",-4.1472509494733,-2.98947405295091,-3.20898197321245,-6.12786243628637
"2082","ch","sta","44","IO1",-0.0274217004701517,-0.00974886396924023,-0.00407688324394722,-0.14928663893262
"2083","ch","sta","44","FC5",-2.31689574411225,-2.99885732927552,-3.54870022804918,-7.21515255484242
"2084","ch","sta","44","FC1",-0.686590513508728,-3.82965321112498,-2.9038475639492,-8.36938290425642
"2085","ch","sta","44","C3",0.12903408243439,-2.25916685582831,-2.79464348604988,-7.62908792776201
"2086","ch","sta","44","T7",0.821781411885563,1.38159635900425,-0.432086529892137,0.575271355031385
"2087","ch","sta","44","M1",1.86238057267287,1.21690955023708,1.25980411679719,2.2146829159255
"2088","ch","sta","44","CP5",1.16514982788093,-0.674347271485981,-0.668574322938069,-2.27839966254048
"2089","ch","sta","44","CP1",1.38796393836276,-1.39002932836021,-0.750927084752635,-5.50910455708177
"2090","ch","sta","44","Pz",1.72959755269628,-0.547949415912386,-0.193389099831405,-3.54016586229195
"2091","ch","sta","44","P3",1.36366213214773,-0.521468337540598,0.169272094880546,-2.20208170897216
"2092","ch","sta","44","P7",1.55696151356774,-0.262822897299473,1.2344522066463,1.43578432558292
"2093","ch","sta","44","LO1",-0.0304167221714846,-0.116066142018729,-0.221072283310053,-0.506725155057779
"2094","ch","sta","44","Oz",1.10369461124756,0.589036458385681,0.533048640070045,0.794768227177106
"2095","ch","sta","44","LO2",0.0702084739196476,0.258595040331322,0.126216742726015,0.802919839405287
"2096","ch","sta","44","P4",0.910481540213648,0.120325660514715,-0.176208405626091,-2.24553684540089
"2097","ch","sta","44","P8",1.96341347903213,1.42369855718588,3.4270410229109,4.45390886684441
"2098","ch","sta","44","M2",1.21974522175052,1.56878155063247,1.69611205653376,2.66422238353648
"2099","ch","sta","44","CP6",0.253059169297533,1.04630904394694,-0.630820863751844,-0.987437609895287
"2100","ch","sta","44","CP2",0.8906455109554,-1.31168114453378,-1.20071808013435,-5.43009523467826
"2101","ch","sta","44","Cz",1.62215367535066,-2.48702060797244,-1.27147825981123,-6.59932014903384
"2102","ch","sta","44","C4",-0.119199593479326,-1.0575324478366,-2.44273656974065,-5.70674566277073
"2103","ch","sta","44","T8",-1.05628132823769,2.90562602760493,1.24431344176837,5.14341318519357
"2104","ch","sta","44","FC6",-2.3345103493845,-2.19820280044547,-3.47423772794864,-5.28539044932811
"2105","ch","sta","44","FC2",-0.78829873069561,-4.30970126422382,-3.14919464459036,-8.59033674357012
"2106","ch","sta","44","F4",-3.98319769084369,-5.84706491737838,-5.27018942291396,-8.54242426611251
"2107","ch","sta","44","F8",-2.55924313500904,-2.68797977443909,-1.93931868748428,-2.17832097771018
"2108","ch","sta","44","FP2",-5.05974431992731,-3.32118619267304,-3.15797328653614,-5.49163855019272
"2109","ch","sta","45","Fp1",1.1101379387716,-1.08116058209077,-0.556894741940571,-0.0710304553173582
"2110","ch","sta","45","Fz",2.68905575726183,-3.43030289922879,-0.863595015093802,-0.558327683260212
"2111","ch","sta","45","F3",2.05195661124671,-1.09694778028395,-1.0555245342538,0.423435765258212
"2112","ch","sta","45","F7",-1.51997998940852,1.02574450090218,-1.08375303090968,-0.219071034720715
"2113","ch","sta","45","IO1",-0.192767134761446,0.00729370859911962,-0.104436121257524,-0.0878519313368792
"2114","ch","sta","45","FC5",-1.32065024741783,1.49153036238152,-1.36171649926573,-0.494214056701822
"2115","ch","sta","45","FC1",4.02933148350135,-2.58533968611224,-0.946663877490163,-0.0439571020829829
"2116","ch","sta","45","C3",2.32588231384009,-0.315900866272883,-0.94416720125939,-0.626570386077645
"2117","ch","sta","45","T7",-4.07098636994744,4.08110594701041,-0.688288694476354,-0.247555264915674
"2118","ch","sta","45","M1",-0.0369379425286932,0.79629589455544,0.179384966857872,-0.120126551798631
"2119","ch","sta","45","CP5",-0.709338863527175,1.45910845156284,-1.73622159899466,-0.532551794243041
"2120","ch","sta","45","CP1",2.571853056214,-2.22304430913407,0.101849914066622,-1.46783619870098
"2121","ch","sta","45","Pz",2.5061632566147,-2.6031355341448,0.814174636417973,-1.52644963075278
"2122","ch","sta","45","P3",1.61320897286275,-1.33155010588464,-1.0248063313608,-1.10882643027758
"2123","ch","sta","45","P7",0.310133174569884,0.447628001298626,-1.45847973314405,-0.597428482825356
"2124","ch","sta","45","LO1",-0.666606271442784,0.32198887722114,-0.414837142717034,-0.175353470238555
"2125","ch","sta","45","Oz",1.74700002541096,-1.36898507724872,0.796899327906623,0.257220958102805
"2126","ch","sta","45","LO2",-0.190832451938936,0.850796843190877,0.293703525621969,0.278127603508952
"2127","ch","sta","45","P4",1.75235139178377,-1.8217256986513,1.76010553635985,0.253423220580359
"2128","ch","sta","45","P8",-0.128096450803302,-0.862534164344287,1.83460962332525,1.07543539923887
"2129","ch","sta","45","M2",0.335027620094318,2.20032796339237,1.31625131049416,1.55641845725258
"2130","ch","sta","45","CP6",0.756257246319984,0.887187819088275,2.62432926551105,1.1416243576821
"2131","ch","sta","45","CP2",2.78421067069134,-2.51474984429521,1.71862388919059,-0.857929911592196
"2132","ch","sta","45","Cz",4.76944272727216,-3.71005754976517,0.412284401772241,-1.10368975047077
"2133","ch","sta","45","C4",2.86872851535647,-0.590174583666054,1.89484986849871,-0.483461459476428
"2134","ch","sta","45","T8",-1.4444703729429,6.05042499948864,2.59728637566712,1.87947680387
"2135","ch","sta","45","FC6",0.397746317613201,1.1991120223223,0.471558520406562,-0.336801712265789
"2136","ch","sta","45","FC2",2.86997465431618,-3.24819144915038,-0.711472886353656,-0.70911814011105
"2137","ch","sta","45","F4",1.46837069775517,-1.11076319449362,-0.654998081145734,-0.218435910313561
"2138","ch","sta","45","F8",-0.650110985006303,0.279105107510454,-0.844990727499306,-0.373068257972534
"2139","ch","sta","45","FP2",0.477302611940714,-0.731331212832189,-0.50854064647035,-0.0267230592385853
"2140","ch","sta","46","Fp1",-2.61881956204723,-2.30413126463202,-2.16069683026803,-6.98221418541373
"2141","ch","sta","46","Fz",-2.77801486262987,-3.39386911665986,-3.2945234810058,-8.32929934792191
"2142","ch","sta","46","F3",-3.59255122678021,-2.38770035812483,-3.48956602599888,-8.39470166742366
"2143","ch","sta","46","F7",-2.71984585426231,-0.00817115083522139,-2.71014655267918,-4.68135851417252
"2144","ch","sta","46","IO1",-0.158548147259266,0.0134578538405349,-0.294242263606431,-0.275569672384463
"2145","ch","sta","46","FC5",-6.41057087956683,-0.17928252985765,-4.04992074775791,-6.80600687833641
"2146","ch","sta","46","FC1",-3.07224761724284,-3.41872706326241,-3.65877097318619,-6.8623230689689
"2147","ch","sta","46","C3",-5.18691555248927,-2.53496909313102,-5.03264421525011,-6.27971526841152
"2148","ch","sta","46","T7",-5.73129923447404,5.09077710037656,-2.89162713109953,0.43672494670373
"2149","ch","sta","46","M1",1.18572180382278,0.910940332819355,0.31783648253872,3.67080639828806
"2150","ch","sta","46","CP5",-5.0674226074306,1.19015679464187,-3.33576644722325,0.204740360841267
"2151","ch","sta","46","CP1",0.459531759111471,-3.31836639638506,-2.28654063950073,-1.43113287016072
"2152","ch","sta","46","Pz",2.1692377356779,-3.33766966906364,-0.960004466689478,0.91931888768968
"2153","ch","sta","46","P3",0.700937030751498,-2.22463564075663,-1.04460621925369,0.53028773732067
"2154","ch","sta","46","P7",-1.76108078293735,1.55131228853763,0.601325460582935,4.68268429385956
"2155","ch","sta","46","LO1",-0.45152128794559,0.145291773913955,-0.673575421398798,-0.621614572142946
"2156","ch","sta","46","Oz",3.82862720242214,-1.12723825844318,1.61156622663939,4.14153896449593
"2157","ch","sta","46","LO2",-2.65526897175159,1.0313092004905,-0.514823525204293,-1.57198372115645
"2158","ch","sta","46","P4",2.5460892936321,-2.41750038177753,-0.458592365999872,2.6612224608889
"2159","ch","sta","46","P8",0.781308079394564,0.401591996308146,-0.587126159890192,4.43735153570335
"2160","ch","sta","46","M2",-0.059678976769551,1.06314151807782,0.546601029051881,2.31715657619316
"2161","ch","sta","46","CP6",0.156617652434031,-1.10759174247402,-2.06367832713799,0.4173219723279
"2162","ch","sta","46","CP2",1.468695053464,-3.33601019525202,-2.05479338836453,-0.931756202219271
"2163","ch","sta","46","Cz",-0.462069599061225,-3.66675048485921,-2.88584404569005,-3.58501791798949
"2164","ch","sta","46","C4",-1.70128498483318,-3.09944220040711,-3.34419324732633,-4.60496707964543
"2165","ch","sta","46","T8",-6.8857630532489,3.61342996663843,-1.27888328204628,-2.7850130485208
"2166","ch","sta","46","FC6",-7.51664987243187,-1.0977809257429,-4.32193481466463,-9.75162549098028
"2167","ch","sta","46","FC2",-1.92000512892418,-2.61250653931607,-3.37265300690174,-5.07469750196644
"2168","ch","sta","46","F4",-4.3003696310411,-2.56137870777947,-3.95860165728033,-8.31408274251559
"2169","ch","sta","46","F8",-8.33122373008734,0.53927909568355,-3.50697093426377,-9.33405157363658
"2170","ch","sta","46","FP2",-2.35293355001078,-0.994809755962421,-2.37829483608922,-6.50145100902086
"2171","ch","sta","47","Fp1",-0.261744247756726,-0.645600310123798,-0.801523454925656,-1.58139748511723
"2172","ch","sta","47","Fz",0.950095735648327,-2.89232483572979,-2.54462837538789,-3.80276065495346
"2173","ch","sta","47","F3",-1.07168925832302,-1.92744186746513,-2.10460683051628,-3.24706483612993
"2174","ch","sta","47","F7",-3.28204807071342,0.585083559099154,-0.512076296835327,-1.42181351260967
"2175","ch","sta","47","IO1",0.183483491828416,-0.207708211782975,-0.175919993419997,-0.0672497151036459
"2176","ch","sta","47","FC5",-3.74350905062459,0.452331314772745,-1.70545226431926,-2.54473558750421
"2177","ch","sta","47","FC1",0.646062933937663,-2.95606982188617,-1.53223595943448,-3.8738514109719
"2178","ch","sta","47","C3",-0.275225536055613,0.182558991068734,0.00349996556058367,-1.99293481958062
"2179","ch","sta","47","T7",-1.57493008076004,3.38785372332373,3.42213195027226,3.03465124100459
"2180","ch","sta","47","M1",1.32105117245427,1.02408116971285,1.13806276380976,1.83999562500747
"2181","ch","sta","47","CP5",1.09984817564725,1.29574992529363,1.27598094235054,0.925944845349311
"2182","ch","sta","47","CP1",1.49304758817256,-0.964843308695838,1.25111359528319,0.127092051980293
"2183","ch","sta","47","Pz",3.90341108669164,-0.19041312057087,1.71888211155805,2.30544036048843
"2184","ch","sta","47","P3",3.05889408286578,0.876990754734631,1.14074952748353,1.66841706240865
"2185","ch","sta","47","P7",3.48972730654091,2.1190562564723,2.30622124844527,3.5790528968844
"2186","ch","sta","47","LO1",-0.773736605582125,0.215426147272285,0.0404892118595301,-0.0829823118203221
"2187","ch","sta","47","Oz",3.70368794338702,0.908425801523476,0.875250798187571,1.85227737770894
"2188","ch","sta","47","LO2",-0.239559211031721,0.472040820637456,0.175795288864253,-0.293051727537838
"2189","ch","sta","47","P4",3.6436395005,1.38197778864445,1.39015952821901,0.493057071151182
"2190","ch","sta","47","P8",2.80936851034603,3.02537657160056,1.61658745446981,1.56412154350448
"2191","ch","sta","47","M2",1.95195036764284,1.80786584811058,1.76121310422951,2.97246691294443
"2192","ch","sta","47","CP6",4.47739379041689,2.54819142328841,0.649896585651627,-0.332671077655019
"2193","ch","sta","47","CP2",3.70380092113799,-1.14845663783909,0.875722195902858,-0.132456079442831
"2194","ch","sta","47","Cz",3.88441251337304,-2.6367825181349,1.03245453834011,-0.7426731112626
"2195","ch","sta","47","C4",3.55833562528952,-1.21984904674733,-0.739553698775125,-2.73211715690157
"2196","ch","sta","47","T8",-0.418394798381593,4.99327017040511,1.33331932846035,-1.02997893358524
"2197","ch","sta","47","FC6",0.133358235068008,0.317458586338381,-1.01730599593457,-2.43190692115399
"2198","ch","sta","47","FC2",2.57316656744318,-3.70880560805657,-1.3286037470348,-3.72331934650106
"2199","ch","sta","47","F4",0.176418311042007,-2.43467748360196,-2.12868270539488,-3.56800393446121
"2200","ch","sta","47","F8",-1.71648770653888,0.559328624441748,0.425186132900752,-1.2826052555313
"2201","ch","sta","47","FP2",-0.71754171773009,-0.197162093046349,0.0726646155353797,-0.68353637719095
"2202","ch","sta","48","Fp1",1.01999441282659,-0.357329274600185,-2.77035379088621,-2.63068677256749
"2203","ch","sta","48","Fz",-0.0236153454514811,-3.755267238855,-8.40200850636314,-7.79852256839104
"2204","ch","sta","48","F3",1.10086954880037,-2.32666147059524,-7.00742935721221,-5.80818397207149
"2205","ch","sta","48","F7",-0.157435919221601,-0.588199659367349,-3.34316624441923,-3.48006658312705
"2206","ch","sta","48","IO1",-0.163258689878577,-0.0539199885132314,-0.644784369105198,-0.366312686418398
"2207","ch","sta","48","FC5",-0.472483334211574,-3.33639443279978,-6.80210980539305,-5.61182526769215
"2208","ch","sta","48","FC1",2.66634430753599,-3.85731404008536,-8.86861702759135,-7.11238013664953
"2209","ch","sta","48","C3",3.47767573358398,-4.83987876007788,-8.55524962081828,-6.51614721418257
"2210","ch","sta","48","T7",-3.44209054235627,-0.738690505808043,-0.428985020760262,1.32806273585268
"2211","ch","sta","48","M1",0.149574511298516,0.124204867575346,0.976070866040409,2.29527213657827
"2212","ch","sta","48","CP5",0.613181907640632,-0.503801621638467,-4.87056569782329,-1.44204380526815
"2213","ch","sta","48","CP1",5.56360972969212,-3.83521407821869,-6.58386357107389,-4.52059827478902
"2214","ch","sta","48","Pz",6.81095722554456,-1.09381982858878,-3.93383089365402,-3.01781049198533
"2215","ch","sta","48","P3",4.92690709227384,-0.606862115833685,-4.52683241131589,-1.25699999326679
"2216","ch","sta","48","P7",-0.35853430216648,1.8004351262863,-0.562775977409741,1.75892210595432
"2217","ch","sta","48","LO1",-0.341201968077815,-0.0427934735365689,-0.825466231179653,-0.419963472944528
"2218","ch","sta","48","Oz",4.55933495683645,0.752274253849926,-1.32093926117966,-0.407301373590342
"2219","ch","sta","48","LO2",-1.24090825898542,-0.604953247821854,-0.913816830502624,-0.951339471350653
"2220","ch","sta","48","P4",4.50433545694076,-0.768528545290531,-4.1059725474098,-3.27654301325651
"2221","ch","sta","48","P8",3.40326420551039,1.14265110897364,-3.01853253944289,-1.8697504398837
"2222","ch","sta","48","M2",2.38854834717519,1.75810130561524,1.81698015349972,1.03913339218325
"2223","ch","sta","48","CP6",2.85955946660399,1.19381925234587,-3.95500853052426,-2.627954932918
"2224","ch","sta","48","CP2",5.2819743767712,-2.75420692112797,-5.71486769142557,-5.04012643491369
"2225","ch","sta","48","Cz",4.66499792318726,-4.68763117791563,-7.93236284340475,-6.70975195740481
"2226","ch","sta","48","C4",1.76601163704051,-3.55259211478066,-6.92596004487138,-6.29983882766674
"2227","ch","sta","48","T8",1.87253339932004,3.48664708086317,-0.783916711052875,1.25353406346357
"2228","ch","sta","48","FC6",-2.58409803987765,-4.49687037713397,-6.78342231490045,-6.23908751372082
"2229","ch","sta","48","FC2",0.528779873068157,-4.81919804787978,-9.14903404248182,-8.51477133425685
"2230","ch","sta","48","F4",-2.64067116841547,-4.98315594228044,-9.34963789885757,-7.50201460903254
"2231","ch","sta","48","F8",-4.88831492028805,-2.96477552211815,-2.83408518784284,-2.91662464822267
"2232","ch","sta","48","FP2",-2.1147726285914,-2.39535709266863,-4.09581408244206,-3.59546276314105
"2233","ch","sta","49","Fp1",0.606795072199101,-0.254454712814846,0.613032047564098,1.19732796510526
"2234","ch","sta","49","Fz",-0.566162529905432,-5.91413820011845,-3.71994018278225,-6.50337084796372
"2235","ch","sta","49","F3",-1.76481087387589,-3.67723338500804,-1.98144625143504,-4.78945175801052
"2236","ch","sta","49","F7",-1.33714898694965,-0.0770828726915146,0.658614085842276,2.01843315161251
"2237","ch","sta","49","IO1",-0.0946289409171492,0.149246026224801,0.0685098069124715,0.280263271559419
"2238","ch","sta","49","FC5",-1.92338083709535,-3.1861600203729,-0.69983815630304,-2.61697651195153
"2239","ch","sta","49","FC1",1.57234005632569,-6.31719920505334,-1.78570150645672,-4.84509597530522
"2240","ch","sta","49","C3",2.64897067091744,-5.63285619785329,-0.352026779589903,-4.16811528068069
"2241","ch","sta","49","T7",-0.309160122500845,1.10959936477516,3.17995443997445,3.93134084814914
"2242","ch","sta","49","M1",0.665058636472299,0.234502826135966,0.638527803417782,1.14676604776362
"2243","ch","sta","49","CP5",3.21034807644361,-1.5517443501445,2.41847065926552,1.67588794358544
"2244","ch","sta","49","CP1",4.52976273671075,-6.21858020793317,1.44179377641877,-1.88816431392145
"2245","ch","sta","49","Pz",4.08812040846563,-4.64236258572632,2.07505944738028,-0.0725624058143247
"2246","ch","sta","49","P3",3.77779935295139,-2.93199150651889,2.17161600374563,0.0227507311198777
"2247","ch","sta","49","P7",2.73757621666902,0.0480316886868004,2.62952164885763,2.72771084684912
"2248","ch","sta","49","LO1",-0.39700343168188,0.162115001366493,0.191041073598082,0.654668493038126
"2249","ch","sta","49","Oz",3.95544827264935,-0.593839879847642,1.85385327251781,0.690028017259647
